"","Estimate","Std.Error","t value","P-value"
"Reference - No Action",12.0739300603446,2.25877566117193,5.34534273053052,2.26651540535805e-07
"Runnel - No Action",-2.17099033701145,2.04097193687357,-1.06370415868483,0.536203493593943
"Runnel - Reference",-14.2449203973561,2.18309120565454,-6.52511464498578,1.65910396532354e-10
