,Estimate,Std.Error,t value,P-value
Reference - No Action,-0.222949417,0.102540243,-2.174262623,0.075336753
Runnel - No Action,0.137749064,0.092915637,1.482517554,0.298819534
Runnel - Reference,0.36069848,0.101551188,3.551888353,0.001088126
